position,rank,name,lastName,uri,imageUri,worth,salary,managementAssets,government,title,pay,headquarters,state,age,source,industry,gender,country,timestamp,squareImage,worthChange,realTimeWorth,realTimeRank,realTimePosition
,,Andrew Karam,Karam,andrew-karam,no-pic,,,,,,,CA,California,42,mobile games,Media & Entertainment,M,United States,1708230002206,https://specials-images.forbesimg.com/imageserve/6245cc79e87d037c291e1771/416x416.jpg?background=000000&cropX1=138&cropX2=652&cropY1=24&cropY2=539,0.0,1488.658,1963,1963
,,Andy Fang,Fang,andy-fang,no-pic,,,,,,,CA,California,31,food delivery app,Technology,M,United States,1708230002206,https://specials-images.forbesimg.com/imageserve/618e9ac85531987afd163397/416x416.jpg?background=000000&cropX1=215&cropX2=2294&cropY1=58&cropY2=2139,0.0,1528.263,1920,1920
,,Anil Gupta,Gupta,anil-gupta,no-pic,,,,,,,,,64,Cables,Manufacturing,M,India,1708230002206,,0.0,1351.31,2127,2127
,,Annalisa Doris,Doris,annalisa-doris,no-pic-female,,,,,,,,,53,Financial services,Finance & Investments,F,Italy,1708230002206,,0.0,1422.177,2033,2033
,,Anne Marie See Pastor,Pastor,anne-marie-see-pastor,no-pic-female,,,,,,,,,,Finance,Finance & Investments,F,Peru,1708230002206,,0.0,1723.355,1740,1740
,,Anne Werninghaus,Werninghaus,anne-werninghaus,no-pic-female,,,,,,,,,38,Industrial machinery,Manufacturing,F,Brazil,1708230002206,,0.0,1167.19,2327,2327
,,Annette Lerner & family,Lerner,annette-lerner,no-pic-female,,,,,,,MD,Maryland,93,Real estate,Real Estate,F,United States,1708230002206,https://specials-images.forbesimg.com/imageserve/641dfd4725ae8c113d580d50/416x416.jpg?background=000000&cropX1=17&cropX2=315&cropY1=119&cropY2=417,0.0,6442.62,421,421
,,Anthony Casalena,Casalena,anthony-casalena,no-pic,,,,,,,MD,Maryland,41,Software ,Technology,M,United States,1708230002206,https://specials-images.forbesimg.com/imageserve/6245cd7da7f40c120d1e176f/416x416.jpg?background=000000&cropX1=999&cropX2=1993&cropY1=56&cropY2=1050,0.0,1583.983,1853,1853
,,Anthony Hall,Hall,anthony-hall,no-pic,,,,,,,,,68,Technology ,Technology,M,Australia,1708230002206,,0.0,1622.877,1825,1825
,,Anu Aga,Aga,anu-aga,anu-aga,,,,,,,,,81,Engineering,Construction & Engineering,F,India,1708230002206,https://specials-images.forbesimg.com/imageserve/652562145794e93b6b6e9b06/416x416.jpg?background=000000&cropX1=1173&cropX2=1977&cropY1=465&cropY2=1269,0.0,3100.491,1020,1020
,,Anurang Jain,Jain,anurang-jain-1,no-pic,,,,,,,,,61,Auto parts,Manufacturing,M,India,1708230002206,//specials-images.forbesimg.com/imageserve/5d9f6c7c793bd50006ea487c/416x416.jpg?background=000000&cropX1=1786&cropX2=3590&cropY1=924&cropY2=2727,0.0,1805.856,1672,1672
,,Art Levinson,Levinson,art-levinson,no-pic,,,,,,,CA,California,73,"Genentech, Apple",Diversified,M,United States,1708230002206,https://specials-images.forbesimg.com/imageserve/6245ce21c2533739d81e1771/416x416.jpg?background=000000&cropX1=4&cropX2=2192&cropY1=159&cropY2=2348,0.0,1610.502,1834,1834
,,Artem Khachatryan,Khachatryan,artem-khachatryan,no-pic,,,,,,,,,49,Retail,Fashion & Retail,M,Russia,1708230002206,,0.0,1799.93,1683,1683
,,Arthur Dantchik,Dantchik,arthur-dantchik,no-pic,,,,,,,PA,Pennsylvania,66,"Trading, investments",Finance & Investments,M,United States,1708230002206,,0.0,7328.0,349,349
,,Arthur Xiaobo Hong,Hong,arthur-xiaobo-hong,no-pic,,,,,,,,Guangdong,52,e-commerce,Fashion & Retail,M,China,1708230002206,,0.0,1051.056,2482,2482
,,Arun Bharat Ram,Bharat Ram,arun-bharat-ram,no-pic,,,,,,,,,83,Chemicals,Manufacturing,M,India,1708230002206,https://specials-images.forbesimg.com/imageserve/615b1e38fc9eb8d15779c049/416x416.jpg?background=000000&cropX1=315&cropX2=1943&cropY1=295&cropY2=1922,0.0,3269.606,951,951
,,Arvind Lal,Lal,arvind-lal,no-pic,,,,,,,,,74,Medical diagnostics,Healthcare,M,India,1708230002206,https://specials-images.forbesimg.com/imageserve/615b2e721e985ac48d218a18/416x416.jpg?background=000000&cropX1=349&cropX2=1232&cropY1=123&cropY2=1006,0.0,1440.082,2013,2013
,,Ashok Kajaria,Kajaria,ashok-kajaria,no-pic,,,,,,,,,76,Tiles,Manufacturing,M,India,1708230002206,,0.0,1174.226,2316,2316
,,Ashwin Desai,Desai,ashwin-desai,no-pic,,,,,,,,,72,Specialty chemicals,Manufacturing,M,India,1708230002206,https://specials-images.forbesimg.com/imageserve/62b1d178be94666612ed0e9e/416x416.jpg?background=000000&cropX1=555&cropX2=2301&cropY1=908&cropY2=2656,0.0,1148.737,2348,2348
,,Atul Ruia,Ruia,atul-ruia,no-pic,,,,,,,,,52,Real estate,Real Estate,M,India,1708230002206,https://specials-images.forbesimg.com/imageserve/642b2b9c66cd59b1e6e1c15b/416x416.jpg?background=000000&cropX1=419&cropX2=1209&cropY1=152&cropY2=941,0.0,2367.1,1332,1332
,,August Troendle,Troendle,august-troendle,no-pic,,,,,,,OH,Ohio,68,Pharmaceutical services,Healthcare,M,United States,1708230002206,,0.0,3199.973,985,985
,,Augusto Perfetti,Perfetti,augusto-perfetti,no-pic,,,,,,,,,,Candy,Food & Beverage,M,Italy,1708230002206,,0.0,2304.44,1355,1355
,,Autry Stephens,Stephens,autry-stephens,autry-stephens,,,,,,,TX,Texas,85,Oil,Energy,M,United States,1708230002206,https://specials-images.forbesimg.com/imageserve/632cc12375656f84e344b120/416x416.jpg?background=000000&cropX1=931&cropX2=2365&cropY1=366&cropY2=1801,0.0,24303.732,79,79
,,Azad Moopen,Moopen,azad-moopen,azad-moopen,,,,,,,,,70,healthcare,Healthcare,M,India,1708230002206,http://specials-images.forbesimg.com/imageserve/57d990b54bbe6f6781c4fb29/416x416.jpg?background=000000&cropX1=2&cropX2=545&cropY1=66&cropY2=609,0.0,1255.054,2233,2233
,,Balkrishan Goenka,Goenka,balkrishan-goenka,balkrishan-goenka,,,,,,,,,57,Textiles,Manufacturing,M,India,1708230002206,//specials-images.forbesimg.com/imageserve/55f8ca6be4b0ffa7afe49fbf/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=2&cropY2=745,0.0,2638.386,1203,1203
,,Bambang Sutantio,Sutantio,bambang-sutantio,no-pic,,,,,,,,,65,Dairy & consumer products,Food & Beverage,M,Indonesia,1708230002206,https://specials-images.forbesimg.com/imageserve/638e265f8f8c006b8cea2e89/416x416.jpg?background=000000&cropX1=206&cropX2=812&cropY1=14&cropY2=620,0.0,1798.984,1685,1685
,,Bang Si-hyuk,Bang,bang-si-hyuk,no-pic,,,,,,,,,51,Entertainment ,Media & Entertainment,M,South Korea,1708230002206,https://specials-images.forbesimg.com/imageserve/5f88b0081d565a475c59267c/416x416.jpg?background=000000&cropX1=180&cropX2=889&cropY1=11&cropY2=720,0.0,1912.323,1597,1597
,,Barbara Benetton,Benetton,barbara-benetton,no-pic-female,,,,,,,,,54,"Fashion retail, investments",Fashion & Retail,F,Italy,1708230002206,,0.0,1477.02,1978,1978
,,Barbara Tyson,Tyson,barbara-tyson,no-pic-female,,,,,,,AR,Arkansas,74,Food processing,Food & Beverage,F,United States,1708230002206,https://specials-images.forbesimg.com/imageserve/632cc3fd3b3068af937d2c21/416x416.jpg?background=000000&cropX1=0&cropX2=750&cropY1=71&cropY2=821,0.0,2058.147,1500,1500
,,Beate Heister,Heister,beate-heister,no-pic-female,,,,,,,,,,Supermarkets,Fashion & Retail,F,Germany,1708230002206,,0.0,15748.821,114,114
,,Beatriz Davila de Santo Domingo,Davila de Santo Domingo,beatriz-davila-de-santo-domingo,no-pic-female,,,,,,,,,84,Beer,Food & Beverage,F,Colombia,1708230002206,,0.0,3791.711,790,790
,,Ben Francis,Francis,ben-francis-1,no-pic,,,,,,,,,31,Fitness clothing,Fashion & Retail,M,United Kingdom,1708230002206,,0.0,1299.824,2180,2180
,,Ben Silbermann,Silbermann,ben-silbermann,ben-silbermann,,,,,,,CA,California,41,Social media,Media & Entertainment,M,United States,1708230002206,//specials-images.forbesimg.com/imageserve/5a9046cf4bbe6f0fa8265d45/416x416.jpg?background=000000&cropX1=150&cropX2=1533&cropY1=42&cropY2=1425,0.0,1990.133,1553,1553
,,Benjamin Otto,Otto,benjamin-otto,no-pic,,,,,,,,,,Retail,Fashion & Retail,M,Germany,1708230002206,,0.0,2844.679,1109,1109
,,Bennett Rosenthal,Rosenthal,bennett-rosenthal,no-pic,,,,,,,CA,California,60,Finance,Finance & Investments,M,United States,1708230002206,https://specials-images.forbesimg.com/imageserve/63e52bf1231cb675e5db7366/416x416.jpg?background=000000&cropX1=574&cropX2=2198&cropY1=231&cropY2=1854,0.0,1870.452,1630,1630
,,Benny Suherman,Suherman,benny-suherman,no-pic,,,,,,,,,76,Cinemas ,Media & Entertainment,M,Indonesia,1708230002206,https://specials-images.forbesimg.com/imageserve/64cbcc5a946f48d90442dbf3/416x416.jpg?background=000000&cropX1=2&cropX2=463&cropY1=0&cropY2=461,0.0,1103.19,2412,2412
,,Benoit Dageville,Dageville,benoit-dageville,no-pic,,,,,,,CA,California,57,Software,Technology,M,United States,1708230002206,,0.0,1458.099,1996,1996
,,Bent Jensen,Jensen,bent-jensen,bent-jensen,,,,,,,,,72,electric systems,Manufacturing,M,Denmark,1708230002206,,0.0,1171.407,2321,2321
,,Bernd Freier,Freier,bernd-freier,bernd-freier,,,,,,,,,67,Fashion retail,Fashion & Retail,M,Germany,1708230002206,//specials-images.forbesimg.com/imageserve/5a7e0cae31358e4955ad0dd1/416x416.jpg?background=000000&cropX1=763&cropX2=2623&cropY1=133&cropY2=1992,0.0,1438.906,2015,2015
,,Bianca Rinehart,Rinehart,bianca-rinehart,no-pic-female,,,,,,,,,46,Mining,Metals & Mining,F,Australia,1708230002206,//specials-images.forbesimg.com/imageserve/5a7a4b8da7ea43169012d8be/416x416.jpg?background=000000&cropX1=0&cropX2=1605&cropY1=271&cropY2=1877,0.0,2017.199,1528,1528
,,Bill Malhotra,Malhotra,bill-malhotra,no-pic,,,,,,,,Ontario,74,Real estate,Real Estate,M,Canada,1708230002206,https://specials-images.forbesimg.com/imageserve/60664c552c01d690bf3ddff7/416x416.jpg?background=000000&cropX1=0&cropX2=1500&cropY1=93&cropY2=1593,0.0,1902.049,1605,1605
,,Blairo Maggi,Maggi,blairo-maggi,blairo-maggi,,,,,,,,,67,Agribusiness,Food & Beverage,M,Brazil,1708230002206,,0.0,1116.262,2395,2395
,,Bob Muglia,Muglia,bob-muglia,no-pic,,,,,,,WA,Washington,64,software,Technology,M,United States,1708230002206,,0.0,1319.493,2155,2155
,,Brad Keywell,Keywell,brad-keywell,brad-keywell,,,,,,,IL,Illinois,54,"Software, investments",Technology,M,United States,1708230002206,,0.0,1092.0,2428,2428
,,Bruce Cheng,Cheng,bruce-cheng,bruce-cheng,,,,,,,,,87,Electronics,Technology,M,Taiwan,1708230002206,//specials-images.forbesimg.com/imageserve/5e1e4ee9735f8c000799df1d/416x416.jpg?background=000000&cropX1=510&cropX2=1775&cropY1=299&cropY2=1564,0.0,2120.86,1463,1463
,,Bruce Mathieson,Mathieson,bruce-mathieson,bruce-mathieson,,,,,,,,,80,Hotels,Real Estate,M,Australia,1708230002206,//specials-images.forbesimg.com/imageserve/56a03ee7e4b0ed854f52942a/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=197&cropY2=941,0.0,1318.878,2158,2158
,,Bruce Wilson,Wilson,bruce-wilson,no-pic,,,,,,,,,77,Retailing,Fashion & Retail,M,Australia,1708230002206,,0.0,2269.786,1378,1379
,,Byron Trott,Trott,byron-trott,no-pic,,,,,,,IL,Illinois,65,Investments,Finance & Investments,M,United States,1708230002206,https://specials-images.forbesimg.com/imageserve/641873d005a18d695fd8a87c/416x416.jpg?background=000000&cropX1=0&cropX2=844&cropY1=78&cropY2=923,0.0,2500.0,1268,1268
,,Cai Huabo,Cai,cai-huabo,no-pic,,,,,,,,Jiangxi,48,Electronics,Technology,M,China,1708230002206,,0.0,1787.433,1692,1692
,,Cameron Adams,Adams,cameron-adams,no-pic,,,,,,,,,44,Software,Technology,M,Australia,1708230002206,https://specials-images.forbesimg.com/imageserve/63ea7154b1bfdd47b1d77e9c/416x416.jpg?background=000000&cropX1=0&cropX2=1080&cropY1=0&cropY2=1080,0.0,2200.0,1415,1415
,,Cameron Winklevoss,Winklevoss,cameron-winklevoss,no-pic,,,,,,,NY,New York,42,Cryptocurrency,Finance & Investments,M,United States,1708230002206,https://specials-images.forbesimg.com/imageserve/6063c068b8ad72d9041e7cda/416x416.jpg?background=000000&cropX1=40&cropX2=691&cropY1=190&cropY2=840,0.0,1380.621,2086,2086
,,Cao Jianwei,Cao,cao-jianwei,no-pic,,,,,,,,Zhejiang,45,Semiconductors,Manufacturing,M,China,1708230002206,,0.0,1015.211,2526,2526
,,Cao Renxian,Cao,cao-renxian,no-pic,,,,,,,,Anhui,55,Photovoltaic equipment ,Energy,M,China,1708230002206,,0.0,5439.572,529,529
,,Cargill MacMillan III,MacMillan,cargill-macmillan-iii,no-pic,,,,,,,CO,Colorado,64,Cargill,Food & Beverage,M,United States,1708230002206,,0.0,1312.669,2166,2166
,,Carmen Daurella Aguilera,Daurella Aguilera,carmen-daurella-aguilera,no-pic-female,,,,,,,,,,Coca-Cola bottler,Food & Beverage,F,Spain,1708230002206,,0.0,1333.897,2145,2145
,,Carmen Thyssen,Thyssen,carmen-thyssen,no-pic-female,,,,,,,,,80,"Investments, art",Manufacturing,F,Spain,1708230002206,,0.0,1475.84,1979,1979
,,Carsten Maschmeyer,Maschmeyer,carsten-maschmeyer,no-pic,,,,,,,,,64,Finance services,Finance & Investments,M,Germany,1708230002206,,0.0,1518.567,1924,1924
,,Catheline Perier D'Ieteren,D'Ieteren,catheline-perier-dieteren,no-pic-female,,,,,,,,,79,"Auto parts, distribution",Automotive,F,Belgium,1708230002206,,0.0,2986.239,1063,1063
,,Catherine Phillips,Phillips,catherine-phillips,no-pic-female,,,,,,,,,,investments,Finance & Investments,F,Canada,1708230002206,,0.0,1580.097,1859,1859
,,Chang Jianming & family,Chang,chang-jianming,no-pic,,,,,,,,Shanghai,59,Industrial equipment,Manufacturing,M,China,1708230002206,,0.0,1201.496,2286,2286
,,Chang Jing,Chang,chang-jing-1,no-pic,,,,,,,,Beijing,41,Technology ,Technology,M,China,1708230002206,,0.0,1366.635,2105,2105
,,Chang Kuo-Hua,Chang,chang-kuo-hua,no-pic,,,,,,,,,69,"Shipping, airlines",Logistics,M,Taiwan,1708230002206,https://specials-images.forbesimg.com/imageserve/63a0c85f19ae5f47238ceb34/416x416.jpg?background=000000&cropX1=1336&cropX2=2486&cropY1=105&cropY2=1254,0.0,1391.751,2068,2068
,,Changpeng Zhao,Zhao,changpeng-zhao,no-pic,,,,,,,,,47,Cryptocurrency exchange,Finance & Investments,M,Canada,1708230002206,https://specials-images.forbesimg.com/imageserve/61115ac5b4c5d23845419c4e/416x416.jpg?background=000000&cropX1=0&cropX2=911&cropY1=0&cropY2=911,0.0,15036.0,123,123
,,Charles Butt,Butt,charles-butt,charles-butt,,,,,,,TX,Texas,86,Supermarkets,Fashion & Retail,M,United States,1708230002206,https://specials-images.forbesimg.com/imageserve/633f36069877ef2945de06ab/416x416.jpg?background=000000&cropX1=101&cropX2=966&cropY1=22&cropY2=886,0.0,7648.568,323,323
,,Charlwin Mao,Mao,charlwin-mao,no-pic,,,,,,,,Shanghai,,E-commerce,Fashion & Retail,M,China,1708230002206,,0.0,1300.0,2178,2178
,,Che Jianxing,Che,che-jianxing,che-jianxing,,,,,,,,Shanghai,57,Furniture retailing,Fashion & Retail,M,China,1708230002206,https://specials-images.forbesimg.com/imageserve/61a52212402ed8086d7a1ac9/416x416.jpg?background=000000&cropX1=0&cropX2=800&cropY1=0&cropY2=800,0.0,1408.42,2050,2050
,,Chen Fashu,Chen,chen-fashu,chen-fashu,,,,,,,,Fujian,63,Investments,Finance & Investments,M,China,1708230002206,https://specials-images.forbesimg.com/imageserve/5a061a6b31358e542c051d52/416x416.jpg?background=000000&cropX1=666&cropX2=2508&cropY1=210&cropY2=2051,0.0,2625.658,1208,1208
,,Chen Huwen,Chen,chen-huwen,no-pic,,,,,,,,Shanghai,53,Stationery,Manufacturing,M,China,1708230002206,,0.0,1344.631,2134,2134
,,Chen Huxiong,Chen,chen-huxiong,no-pic,,,,,,,,Shanghai,53,Stationery,Manufacturing,M,China,1708230002206,,0.0,1251.487,2236,2236
,,Chen Kaichen,Chen,chen-kaichen,no-pic,,,,,,,,Guangdong,,Household chemicals,Manufacturing,M,China,1708230002206,,0.0,1400.395,2056,2056
,,Chen Qiongxiang,Chen,chen-qiongxiang,no-pic-female,,,,,,,,Fujian,,Batteries,Energy,F,China,1708230002206,,0.0,1352.711,2124,2124
,,Chen Shibin,Chen,chen-shibin-1,no-pic,,,,,,,,Jiangsu,57,Quartz products,Manufacturing,M,China,1708230002206,,0.0,1906.231,1601,1601
,,Chen Tianshi,Chen,chen-tianshi,no-pic,,,,,,,,Beijing,39,Semiconductors,Technology,M,China,1708230002206,,0.0,1926.413,1591,1591
,,Chen Zhiping,Chen,chen-zhiping,no-pic,,,,,,,,Guangdong,48,E-cigarettes,Manufacturing,M,China,1708230002206,https://specials-images.forbesimg.com/imageserve/6182c460dd603796f4e9678c/416x416.jpg?background=000000&cropX1=293&cropX2=683&cropY1=8&cropY2=398,0.0,1583.487,1855,1855
,,Chirayu Amin,Amin,chirayu-amin,chirayu-amin,,,,,,,,,77,Pharmaceuticals,Healthcare,M,India,1708230002206,https://specials-images.forbesimg.com/imageserve/606f4c997d5828540a5645bf/416x416.jpg?background=000000&cropX1=560&cropX2=1152&cropY1=201&cropY2=793,0.0,1866.741,1634,1634
,,Cho Jung-ho,Cho,cho-jung-ho,cho-jung-ho,,,,,,,,,65,Finance,Finance & Investments,M,South Korea,1708230002206,https://specials-images.forbesimg.com/imageserve/60b1254d310af4072bd1fb5d/416x416.jpg?background=000000&cropX1=135&cropX2=1128&cropY1=247&cropY2=1239,0.0,5688.725,499,499
,,Cho Jyh-jer,Cho,cho-jyh-jer,no-pic,,,,,,,,,,Semiconductors,Technology,M,Taiwan,1708230002206,https://specials-images.forbesimg.com/imageserve/63a0c99719ae5f47238ceb38/416x416.jpg?background=000000&cropX1=3&cropX2=692&cropY1=80&cropY2=769,0.0,1371.22,2096,2096
,,Chow Shing Yuk,Chow,chow-shing-yuk,no-pic,,,,,,,,,46,Logistics,Logistics,M,Hong Kong,1708230002206,https://specials-images.forbesimg.com/imageserve/64259e7d4ba63d965c8ad237/416x416.jpg?background=000000&cropX1=780&cropX2=1379&cropY1=136&cropY2=734,0.0,1859.45,1639,1639
